School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,42.16,26.85,69.01,1,5,1
Liberty North,27.56,39.98,67.54,5,1,2
Lee's Summit North,24.84,38.04,62.89,8,2,3
Nixa,25.71,24.73,50.44,7,7,4
Rockhurst,20.36,28.88,49.24,15,3,5
Blue Springs South,27.14,20.75,47.89,6,12,6
Staley,28.98,17.89,46.87,4,14,7
De Smet Jesuit,22.97,23.7,46.67,12,8,8
Liberty,20.28,25.62,45.9,16,6,9
Park Hill South,21.8,22.37,44.18,14,11,10
Troy Buchanan,23.65,19.34,42.99,10,13,11
Raymore-Peculiar,32.83,8.98,41.82,2,23,12
Park Hill,32.24,8.4,40.64,3,24,13
Lee's Summit West,11.47,28.28,39.74,21,4,14
Joplin,22.49,16.21,38.7,13,16,15
Rock Bridge,19.73,17.75,37.47,18,15,16
Lee's Summit,24.05,12.97,37.03,9,20,17
Marquette,11.02,23.57,34.59,22,9,18
Kirkwood,19.78,14.54,34.33,17,17,19
Blue Springs,17.34,14.28,31.62,19,18,20
SLUH,16.52,14.18,30.7,20,19,21
Kickapoo,4.34,23.55,27.89,26,10,22
Seckman,23.19,1.8,24.99,11,27,23
Hazelwood Central,2.64,12.76,15.4,27,21,24
Pattonville,5.81,7.79,13.6,25,25,25
Ozark,8.25,4.76,13.0,24,26,26
Ritenour,9.71,0.94,10.65,23,28,27
Lindbergh,0.34,10.1,10.44,29,22,28
Hickman,0.77,-2.95,-2.18,28,29,29
Vianney,-0.84,-8.97,-9.81,30,30,30
Northwest (Cedar Hill),-17.04,-12.81,-29.85,31,31,31
Hazelwood West,-21.82,-20.27,-42.09,32,32,32
