School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blair Oaks,31.35,19.87,51.22,2,2,1
Lamar,23.49,20.99,44.49,3,1,2
Bowling Green,32.1,9.46,41.55,1,8,3
Lafayette County,16.0,17.3,33.3,5,3,4
Liberty (Mountain View),10.6,15.7,26.3,7,5,5
Seneca,19.04,6.91,25.95,4,11,6
Richmond,5.2,17.06,22.25,11,4,7
Lift for Life Academy Charter,9.0,10.08,19.08,8,7,8
Mt. Vernon,4.44,10.79,15.22,14,6,9
Macon,1.95,7.59,9.55,15,10,10
St. Francis Borgia,5.98,3.49,9.47,9,16,11
Central (New Madrid County),13.22,-3.93,9.29,6,29,12
Mountain Grove,4.54,2.4,6.93,12,18,13
Centralia,-4.89,9.36,4.48,23,9,14
Trenton,-2.2,6.35,4.14,20,13,15
Hallsville,5.62,-2.63,2.99,10,26,16
Ava,-2.02,4.29,2.26,18,15,17
Holden,0.47,0.82,1.29,16,19,18
Hermann,-6.26,6.9,0.63,27,12,19
Lawson,-3.77,3.3,-0.48,22,17,20
St. Michael the Archangel,-0.14,-0.61,-0.75,17,21,21
Houston,-5.56,4.41,-1.15,25,14,22
California,4.53,-6.69,-2.16,13,33,23
Strafford,-2.48,-3.34,-5.82,21,27,24
Clark County,-6.64,0.58,-6.06,28,20,25
Warsaw,-6.65,-1.01,-7.66,29,22,26
Pembroke Hill,-8.49,-1.04,-9.53,32,23,27
Hollister,-7.99,-1.72,-9.71,30,24,28
Fair Grove,-2.18,-9.53,-11.71,19,36,29
North Callaway,-5.76,-6.04,-11.8,26,32,30
Priory,-11.25,-3.41,-14.66,33,28,31
John Burroughs,-12.93,-2.55,-15.48,35,25,32
Willow Springs,-8.17,-12.34,-20.51,31,41,33
Jefferson (Festus),-15.29,-5.6,-20.89,39,30,34
East Newton,-14.8,-7.04,-21.84,37,34,35
Lathrop,-17.17,-5.99,-23.15,40,31,36
Montgomery County,-12.36,-10.83,-23.19,34,38,37
Hogan Prep Academy Charter,-14.63,-9.63,-24.26,36,37,38
Forsyth,-5.13,-23.22,-28.35,24,47,39
Knob Noster,-15.07,-14.68,-29.75,38,44,40
Springfield Catholic,-20.2,-11.45,-31.65,43,39,41
Kelly,-24.14,-7.52,-31.66,45,35,42
Palmyra,-18.59,-13.31,-31.9,41,42,43
Versailles,-21.43,-14.02,-35.45,44,43,44
El Dorado Springs,-24.92,-11.56,-36.48,46,40,45
East Prairie,-18.89,-24.85,-43.74,42,48,46
Lexington,-25.05,-21.01,-46.07,47,46,47
Southeast,-32.07,-16.72,-48.8,50,45,48
Doniphan,-31.02,-29.56,-60.58,49,49,49
Cuba,-25.3,-37.14,-62.44,48,51,50
Clever,-32.15,-31.48,-63.63,51,50,51
